transaction_id,sender_account,receiver_account,amount,timestamp,currency,description
TXN-INR-CYC3-000001,HDFC_CYC3_ACC_A,ICIC_CYC3_ACC_B,250000.00,2026-09-03T12:00:00+05:30,INR,RTGS Software Consultancy Advance
TXN-INR-CYC3-000002,ICIC_CYC3_ACC_B,SBIN_CYC3_ACC_C,250000.00,2026-09-03T16:00:00+05:30,INR,RTGS Software Consultancy Advance
TXN-INR-CYC3-000003,SBIN_CYC3_ACC_C,HDFC_CYC3_ACC_A,250000.00,2026-09-03T20:00:00+05:30,INR,RTGS Software Consultancy Advance
TXN-INR-CYC4-000004,KOTAK_CYC4_W,AXIS_CYC4_X,480000.00,2026-09-04T17:00:00+05:30,INR,NEFT Commercial Lease Settlement
TXN-INR-CYC4-000005,AXIS_CYC4_X,PUNB_CYC4_Y,480000.00,2026-09-04T22:00:00+05:30,INR,NEFT Commercial Lease Settlement
TXN-INR-CYC4-000006,PUNB_CYC4_Y,INDUS_CYC4_Z,480000.00,2026-09-05T03:00:00+05:30,INR,NEFT Commercial Lease Settlement
TXN-INR-CYC4-000007,INDUS_CYC4_Z,KOTAK_CYC4_W,480000.00,2026-09-05T08:00:00+05:30,INR,NEFT Commercial Lease Settlement
TXN-INR-CYC5-000008,YESB_CYC5_ALPHA,YESB_CYC5_BETA,750000.00,2026-09-05T11:00:00+05:30,INR,RTGS Industrial Equipment Rental
TXN-INR-CYC5-000009,YESB_CYC5_BETA,YESB_CYC5_GAMMA,750000.00,2026-09-05T14:00:00+05:30,INR,RTGS Industrial Equipment Rental
TXN-INR-CYC5-000010,YESB_CYC5_GAMMA,YESB_CYC5_DELTA,750000.00,2026-09-05T17:00:00+05:30,INR,RTGS Industrial Equipment Rental
TXN-INR-CYC5-000011,YESB_CYC5_DELTA,YESB_CYC5_EPSILON,750000.00,2026-09-05T20:00:00+05:30,INR,RTGS Industrial Equipment Rental
TXN-INR-CYC5-000012,YESB_CYC5_EPSILON,YESB_CYC5_ALPHA,750000.00,2026-09-05T23:00:00+05:30,INR,RTGS Industrial Equipment Rental
TXN-INR-SMURF-IN-000013,UPI_MULE_SPOKE_01,UPI_AGGREGATOR_HUB_01,9615.63,2026-09-06T19:00:00+05:30,INR,UPI P2P Fund Transfer
TXN-INR-SMURF-IN-000014,UPI_MULE_SPOKE_02,UPI_AGGREGATOR_HUB_01,9216.26,2026-09-06T19:35:00+05:30,INR,UPI P2P Fund Transfer
TXN-INR-SMURF-IN-000015,UPI_MULE_SPOKE_03,UPI_AGGREGATOR_HUB_01,9378.77,2026-09-06T20:10:00+05:30,INR,UPI P2P Fund Transfer
TXN-INR-SMURF-IN-000016,UPI_MULE_SPOKE_04,UPI_AGGREGATOR_HUB_01,9345.09,2026-09-06T20:45:00+05:30,INR,UPI P2P Fund Transfer
TXN-INR-SMURF-IN-000017,UPI_MULE_SPOKE_05,UPI_AGGREGATOR_HUB_01,9678.71,2026-09-06T21:20:00+05:30,INR,UPI P2P Fund Transfer
TXN-INR-SMURF-IN-000018,UPI_MULE_SPOKE_06,UPI_AGGREGATOR_HUB_01,9639.85,2026-09-06T21:55:00+05:30,INR,UPI P2P Fund Transfer
TXN-INR-SMURF-IN-000019,UPI_MULE_SPOKE_07,UPI_AGGREGATOR_HUB_01,9779.92,2026-09-06T22:30:00+05:30,INR,UPI P2P Fund Transfer
